Expe,Gâ€™_0,X_{0},r,Ubulk,R,Rbulk,Fslump,E
,,,,,,,,
EXP1,0.15,0.1,2,0.048,4840,34373,0.39,0.0125897167264375
EXP2,0.29,0.1,2,0.071,7108,48345,0.4,0.0112155492490747
EXP3,0.59,0.1,2,0.105,10522,68555,0.45,0.012496808063597
EXP4,0.15,0.2,1,0.066,6629,34236,0.44,0.0134738946229255
EXP5,0.29,0.2,1,0.099,9859,48265,0.46,10000
EXP6,0.59,0.2,1,0.142,14228,68564,0.46,10000
EXP7,0.15,0.4,0.5,0.077,7738,34403,0.45,0.0153382416431133
EXP8,0.29,0.4,0.5,0.113,11265,48275,0.47,10000
EXP9,0.59,0.4,0.5,0.16,16010,68560,0.47,10000
RUN1,0.15,0.1,2,0.049,4891,34310,0.42,0.0103518268007529
RUN2,0.29,0.1,2,0.075,7500,48522,0.43,0.0102481334799302
RUN3,0.59,0.1,2,0.105,10486,68621,0.43,0.0112665367633938
RUN4,0.15,0.2,1,0.058,5809,34310,0.43,0.0147603946603423
RUN5,0.29,0.2,1,0.091,9082,48522,0.43,0.0130165612281904
RUN6,0.59,0.2,1,0.129,12859,68621,0.44,0.0134984601569201
RUN7,0.15,0.4,0.5,0.075,7498,34310,0.44,0.0152767803176394
RUN8,0.29,0.4,0.5,0.106,10569,48522,0.44,0.0154974297572517
RUN9,0.59,0.4,0.5,0.152,15223,68621,0.44,0.0157839787242616
